Procedural__SID,Procedural__household,Demographic__DOB,Demographic__Sex,year,Big5__C_thorough,Big5__E_communic,Big5__A_coarse,Big5__O_original,Big5__N_worry,Big5__A_forgive,Big5__C_lazy,Big5__E_sociable,Big5__O_artistic,Big5__N_nervous,Big5__C_efficient,Big5__E_reserved,Big5__A_friendly,Big5__O_imagin,Big5__N_dealStress,LifeEvent__ChldBrth,LifeEvent__ChldMvOut,LifeEvent__Divorce,LifeEvent__DadDied,LifeEvent__NewPart,LifeEvent__Married,LifeEvent__MomDied,LifeEvent__MoveIn,LifeEvent__PartDied,LifeEvent__SepPart
2677703,267775,1983,1,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2677703,267775,1983,1,2009,5,7,3,2,5,1,3,7,4,1,6,1,3,2,5,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679201,267929,1969,1,2005,7,6,1,6,6,2,3,7,1,3,7,2,6,4,3,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679201,267929,1969,1,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679201,267929,1969,1,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679201,267929,1969,1,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679201,267929,1969,1,2009,6,6,1,4,1,7,1,7,1,1,6,1,7,4,5,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679201,267929,1969,1,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679202,267929,1971,2,2005,7,6,1,4,4,7,1,7,4,1,7,1,6,5,5,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679202,267929,1971,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679202,267929,1971,2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679202,267929,1971,2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679202,267929,1971,2,2009,7,5,1,6,3,7,1,7,1,1,7,1,7,5,4,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679202,267929,1971,2,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679202,267929,1971,2,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,1,-2,-2,-2,-2,1
2679202,267929,1971,2,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,1,-2,-2,-2,-2,-2,-2,-2
2679202,267929,1971,2,2013,7,7,1,4,4,5,1,6,5,1,7,2,7,5,5,-2,-2,1,-2,1,-2,-2,-2,-2,-2
2679202,267929,1971,2,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2679202,267929,1971,2,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,1,-2,-2,1,-2,-2,-2,-2,-2
2679203,267929,1990,2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679203,267929,1990,2,2009,7,6,1,6,4,7,1,6,4,1,6,1,7,7,4,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679203,267929,1990,2,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679203,267929,1990,2,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2679301,267937,1934,1,2005,7,4,1,2,4,6,1,4,1,7,6,4,6,1,6,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679301,267937,1934,1,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679301,267937,1934,1,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679301,267937,1934,1,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679301,267937,1934,1,2009,-1,4,1,2,5,7,4,2,1,5,-1,3,7,1,4,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679301,267937,1934,1,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679302,267937,1934,2,2005,7,5,1,-1,7,7,1,4,1,3,7,4,7,-1,6,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679302,267937,1934,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679302,267937,1934,2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679302,267937,1934,2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679302,267937,1934,2,2009,6,5,1,2,4,7,-1,3,1,3,5,2,7,1,4,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679302,267937,1934,2,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679302,267937,1934,2,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,1,-2
2679302,267937,1934,2,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2679302,267937,1934,2,2013,5,4,1,1,5,7,1,4,-1,1,-1,4,7,1,7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2679302,267937,1934,2,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2679302,267937,1934,2,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2679401,267945,1937,1,2005,4,4,4,2,7,4,6,6,1,6,4,4,5,2,4,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679401,267945,1937,1,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679401,267945,1937,1,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679501,267953,1924,1,2005,7,6,5,4,2,7,1,5,1,3,7,4,6,4,4,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679501,267953,1924,1,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679501,267953,1924,1,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679501,267953,1924,1,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679501,267953,1924,1,2009,5,4,1,1,3,6,2,3,-1,3,4,4,5,1,2,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679501,267953,1924,1,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679501,267953,1924,1,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2679501,267953,1924,1,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2679501,267953,1924,1,2013,-1,5,1,-1,6,6,1,-1,-1,2,-1,3,7,-1,7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2679501,267953,1924,1,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2679501,267953,1924,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2679701,267970,1962,1,2005,7,3,4,7,2,7,1,2,6,1,6,5,5,4,7,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679701,267970,1962,1,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679701,267970,1962,1,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679701,267970,1962,1,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679701,267970,1962,1,2009,7,6,4,5,2,6,2,6,2,1,6,3,5,5,7,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679701,267970,1962,1,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,1,-2,-2,-2
2679701,267970,1962,1,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,1,-2,-2,-2
2679701,267970,1962,1,2013,7,6,5,6,3,3,2,6,2,1,7,3,6,5,7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2679701,267970,1962,1,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2679701,267970,1962,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2679702,267970,1962,2,2005,6,3,4,5,4,6,4,3,5,6,6,5,4,4,3,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679702,267970,1962,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679702,267970,1962,2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679702,267970,1962,2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679702,267970,1962,2,2009,7,4,3,5,5,6,1,5,5,6,7,3,6,4,1,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2679702,267970,1962,2,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2679702,267970,1962,2,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2679702,267970,1962,2,2013,6,6,3,6,5,7,4,6,7,5,6,4,6,7,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2679702,267970,1962,2,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2679702,267970,1962,2,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,1,-2,-2,-2
2679703,267970,1996,1,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2679703,267970,1996,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2680701,268070,1940,1,2005,5,5,3,4,3,4,2,4,3,3,5,3,5,5,5,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680701,268070,1940,1,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680701,268070,1940,1,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680701,268070,1940,1,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680701,268070,1940,1,2009,5,4,2,2,3,5,2,5,5,4,5,5,7,6,4,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680701,268070,1940,1,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680701,268070,1940,1,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,1,-2,-2,-2
2680701,268070,1940,1,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2680701,268070,1940,1,2013,6,5,2,4,3,3,2,5,5,3,5,5,6,5,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2680701,268070,1940,1,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2680701,268070,1940,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2680702,268070,1942,2,2005,6,6,2,4,2,6,2,5,6,4,5,3,5,5,4,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680702,268070,1942,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680702,268070,1942,2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680702,268070,1942,2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680702,268070,1942,2,2009,6,6,2,5,3,4,2,6,6,3,6,4,6,6,3,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680702,268070,1942,2,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680702,268070,1942,2,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2680702,268070,1942,2,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2680702,268070,1942,2,2013,7,6,2,4,2,6,2,6,6,3,6,4,6,6,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2680702,268070,1942,2,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2680702,268070,1942,2,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2680901,268097,1939,1,2005,5,4,3,4,6,6,4,5,4,7,5,4,5,6,6,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680901,268097,1939,1,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680901,268097,1939,1,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680901,268097,1939,1,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680901,268097,1939,1,2009,7,4,4,4,6,6,1,4,4,4,3,3,3,4,4,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680901,268097,1939,1,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680901,268097,1939,1,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2680903,268097,1938,2,2005,6,1,4,2,7,7,1,5,2,6,6,5,5,5,7,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680903,268097,1938,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680903,268097,1938,2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680903,268097,1938,2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680903,268097,1938,2,2009,6,6,5,5,4,6,1,4,4,4,6,2,3,3,7,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680903,268097,1938,2,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680903,268097,1938,2,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2680904,268097,1976,2,2005,6,7,4,3,5,6,2,6,4,5,4,3,5,3,3,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680904,268097,1976,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680904,268097,1976,2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,1,-2,-2,-2,-2
2680904,268097,1976,2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680904,268097,1976,2,2009,6,6,4,3,4,6,2,2,1,2,4,6,6,3,3,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680904,268097,1976,2,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2680904,268097,1976,2,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-2,-2,-2,-2,-2,-2,-2,-2,-2
2680904,268097,1976,2,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2680904,268097,1976,2,2013,6,5,3,3,5,5,3,4,2,5,4,6,6,5,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2680904,268097,1976,2,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2680904,268097,1976,2,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2681001,268100,1941,1,2005,5,5,3,6,6,6,5,5,6,6,6,5,6,6,6,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2681001,268100,1941,1,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2681001,268100,1941,1,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2681001,268100,1941,1,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2681001,268100,1941,1,2009,6,5,4,5,6,6,1,4,7,6,6,6,6,7,6,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2681001,268100,1941,1,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2681001,268100,1941,1,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2681001,268100,1941,1,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2681001,268100,1941,1,2013,6,5,5,5,6,5,1,5,6,5,6,6,6,6,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2681001,268100,1941,1,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2681001,268100,1941,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2681002,268100,1941,2,2005,5,4,3,4,5,6,5,4,7,7,7,7,7,7,5,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2681002,268100,1941,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2681002,268100,1941,2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2681002,268100,1941,2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2681002,268100,1941,2,2009,7,5,4,5,7,6,1,4,4,-1,7,7,7,5,5,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2681002,268100,1941,2,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2681002,268100,1941,2,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2681002,268100,1941,2,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2681002,268100,1941,2,2013,7,4,3,4,3,3,1,4,4,3,2,1,6,6,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2681002,268100,1941,2,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2681002,268100,1941,2,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2681003,268100,1971,2,2005,4,6,2,6,6,5,4,6,6,6,5,4,6,5,4,1,-2,-2,-2,NA,-2,-2,-2,-2,-2
2681003,268100,1971,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2681003,268100,1971,2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2681003,268100,1971,2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2681003,268100,1971,2,2009,5,6,1,6,6,5,3,6,6,5,5,4,7,6,2,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2681003,268100,1971,2,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2681003,268100,1971,2,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2681003,268100,1971,2,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2681003,268100,1971,2,2013,6,7,1,6,6,4,3,6,7,4,6,4,7,7,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2681003,268100,1971,2,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2681003,268100,1971,2,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2681201,268127,1937,2,2005,-1,7,2,1,2,6,2,6,7,2,-1,5,5,3,6,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2681201,268127,1937,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2681202,268127,1978,1,2005,7,7,2,5,4,6,2,7,5,1,7,5,7,5,6,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
